uuid,timestamp,sales
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-01 00:00:00,67
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-01 04:00:00,74
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-01 08:00:00,176
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-01 16:00:00,134
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-01 20:00:00,123
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-02 00:00:00,119
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-02 04:00:00,135
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-02 08:00:00,343
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-02 12:00:00,190
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-02 16:00:00,82
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-02 20:00:00,109
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-03 00:00:00,161
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-03 04:00:00,165
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-03 08:00:00,172
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-03 12:00:00,226
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-03 20:00:00,24
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-04 00:00:00,183
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-04 04:00:00,135
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-04 08:00:00,87
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-04 12:00:00,205
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-04 16:00:00,202
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-04 20:00:00,76
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-05 00:00:00,307
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-05 08:00:00,166
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-05 16:00:00,91
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-05 20:00:00,312
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-06 04:00:00,160
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-06 08:00:00,70
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-06 12:00:00,26
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-06 16:00:00,60
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-06 20:00:00,213
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-07 00:00:00,5
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-07 08:00:00,210
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-07 12:00:00,225
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-07 16:00:00,150
00a21ec5-a607-4954-ba8b-87d695d63c57,2020-01-07 20:00:00,142
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-01 00:00:00,55
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-01 04:00:00,6
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-01 08:00:00,121
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-01 12:00:00,79
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-01 16:00:00,195
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-01 20:00:00,99
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-02 00:00:00,72
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-02 04:00:00,36
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-02 08:00:00,108
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-02 12:00:00,186
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-02 16:00:00,42
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-03 00:00:00,106
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-03 04:00:00,31
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-03 08:00:00,153
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-03 12:00:00,170
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-03 16:00:00,231
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-03 20:00:00,284
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-04 00:00:00,268
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-04 04:00:00,136
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-04 08:00:00,153
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-04 12:00:00,203
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-04 16:00:00,202
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-04 20:00:00,162
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-05 00:00:00,81
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-05 04:00:00,50
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-05 08:00:00,151
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-05 12:00:00,182
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-05 16:00:00,207
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-05 20:00:00,160
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-06 00:00:00,328
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-06 04:00:00,75
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-06 08:00:00,147
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-06 16:00:00,124
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-06 20:00:00,31
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-07 00:00:00,195
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-07 04:00:00,55
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-07 08:00:00,80
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-07 12:00:00,230
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-07 16:00:00,163
00b95239-4ab5-4f99-9d08-2068480c9bc1,2020-01-07 20:00:00,25
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-01 04:00:00,115
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-01 08:00:00,77
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-01 12:00:00,153
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-01 16:00:00,113
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-01 20:00:00,213
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-02 04:00:00,147
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-02 08:00:00,14
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-02 12:00:00,74
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-02 16:00:00,90
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-02 20:00:00,114
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-03 00:00:00,187
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-03 04:00:00,51
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-03 08:00:00,56
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-03 16:00:00,83
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-03 20:00:00,31
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-04 00:00:00,6
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-04 04:00:00,234
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-04 08:00:00,40
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-04 12:00:00,95
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-04 16:00:00,213
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-04 20:00:00,184
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-05 00:00:00,64
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-05 04:00:00,70
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-05 08:00:00,215
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-05 12:00:00,303
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-05 16:00:00,184
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-05 20:00:00,118
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-06 00:00:00,193
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-06 04:00:00,68
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-06 08:00:00,4
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-06 16:00:00,9
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-06 20:00:00,87
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-07 00:00:00,39
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-07 04:00:00,215
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-07 08:00:00,225
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-07 12:00:00,114
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-07 16:00:00,223
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-07 20:00:00,182
00c5e83a-e57b-4d31-8bc2-eac8f898e314,2020-01-08 00:00:00,14
0218f919-91ca-41ee-b2d0-14dfa7c6c9c2,2020-01-01 00:00:00,178
0218f919-91ca-41ee-b2d0-14dfa7c6c9c2,2020-01-01 04:00:00,33
0218f919-91ca-41ee-b2d0-14dfa7c6c9c2,2020-01-01 08:00:00,167
0218f919-91ca-41ee-b2d0-14dfa7c6c9c2,2020-01-01 16:00:00,124
0218f919-91ca-41ee-b2d0-14dfa7c6c9c2,2020-01-01 20:00:00,75
0218f919-91ca-41ee-b2d0-14dfa7c6c9c2,2020-01-02 00:00:00,95
0218f919-91ca-41ee-b2d0-14dfa7c6c9c2,2020-01-02 04:00:00,86
0218f919-91ca-41ee-b2d0-14dfa7c6c9c2,2020-01-02 08:00:00,145
0218f919-91ca-41ee-b2d0-14dfa7c6c9c2,2020-01-02 12:00:00,109
0218f919-91ca-41ee-b2d0-14dfa7c6c9c2,2020-01-02 16:00:00,201
0218f919-91ca-41ee-b2d0-14dfa7c6c9c2,2020-01-03 04:00:00,53
0218f919-91ca-41ee-b2d0-14dfa7c6c9c2,2020-01-03 08:00:00,91
0218f919-91ca-41ee-b2d0-14dfa7c6c9c2,2020-01-03 12:00:00,119
0218f919-91ca-41ee-b2d0-14dfa7c6c9c2,2020-01-03 16:00:00,172
